object_id,camera_id,evaluation_caption
BigBottle,PC2,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
BigBottle,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC8,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
Bottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC4,one full opaque open cylindrical plastic bottle with a snap finish and no closure
BrandyBottle,PC5,one full opaque closed cylindrical glass bottle with a snap finish and cork closure
BrandyBottle,PC6,one full opaque closed cylindrical glass bottle with a snap finish and cork closure
BrandyBottle,PC8,one empty translucent open cylindrical glass bottle with a snap finish and no closure
CeramicBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle1,PC2,one full transparent closed cylindrical plastic container with a snap finish and snap closure
CorkGlassBottle1,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle1,PC5,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle1,PC6,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle1,PC8,one empty translucent open cylindrical plastic container with a snap finish and no closure
CorkGlassBottle2,PC2,one full transparent closed cylindrical glass bottle with a snap finish and cork closure
CorkGlassBottle2,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC5,one full transparent open cylindrical plastic bottle with a snap finish and no closure
CorkGlassBottle2,PC6,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC8,one full transparent closed cylindrical plastic container with a snap finish and snap closure
CorkGlassBottle3,PC2,one full opaque open cylindrical plastic container with a snap finish and no closure
CorkGlassBottle3,PC4,one full opaque closed cylindrical plastic container with a snap finish and snap closure
CorkGlassBottle3,PC5,one full transparent closed rectangular plastic container with a snap finish and snap closure
CorkGlassBottle3,PC6,one full opaque closed rectangular plastic bottle with a snap finish and snap closure
CorkGlassBottle3,PC8,one empty translucent open cylindrical plastic container with a snap finish and no closure
CorkGlassBottle4,PC2,one full transparent closed cylindrical glass bottle with a snap finish and cork closure
CorkGlassBottle4,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle4,PC5,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle4,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle4,PC8,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle5,PC2,one full opaque closed oval glass bottle with a snap finish and cork closure
CorkGlassBottle5,PC4,one full transparent closed oval plastic bottle with a snap finish and snap closure
CorkGlassBottle5,PC5,one full transparent open oval glass bottle with a snap finish and no closure
CorkGlassBottle5,PC6,one full transparent closed oval plastic bottle with a snap finish and snap closure
CorkGlassBottle5,PC8,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CystalJar,PC2,one full transparent closed cylindrical glass bottle with a snap finish and cork closure
CystalJar,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CystalJar,PC5,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CystalJar,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CystalJar,PC8,one full transparent open cylindrical plastic bottle with a snap finish and no closure
DarkBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
DarkBottle,PC4,one empty translucent open cylindrical glass bottle with a snap finish and no closure
DarkBottle,PC5,one empty translucent open cylindrical glass bottle with a snap finish and no closure
DarkBottle,PC6,one empty translucent open cylindrical glass bottle with a snap finish and no closure
DarkBottle,PC8,one empty translucent open cylindrical glass bottle with a snap finish and no closure
EmptyJar,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC8,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
FairyBottle,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
FairyBottle,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
FairyBottle,PC5,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
FairyBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
FairyBottle,PC8,one full transparent open cylindrical plastic bottle with a snap finish and no closure
GlassBottle,PC2,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
GlassBottle,PC4,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
GlassBottle,PC5,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
GlassBottle,PC6,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
GlassBottle,PC8,one empty translucent open cylindrical plastic bottle with a twist finish and no closure
GlassJar,PC2,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
GlassJar,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC8,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
HeartGlassJar,PC2,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
HeartGlassJar,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
HeartGlassJar,PC5,one full opaque closed oval plastic bottle with a twist finish and screw closure
HeartGlassJar,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
HeartGlassJar,PC8,one full transparent closed oval plastic bottle with a twist finish and screw closure
LiquorBottle,PC2,"one full opaque closed cylindrical plastic bottle with a snap finish, handle and snap closure"
LiquorBottle,PC4,"one full opaque closed cylindrical plastic bottle with a snap finish, handle and snap closure"
LiquorBottle,PC5,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
LiquorBottle,PC6,"one full opaque closed cylindrical glass bottle with a snap finish, handle and snap closure"
LiquorBottle,PC8,one empty translucent open cylindrical plastic bottle with a snap finish and no closure
PerfumeBottle,PC2,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
PerfumeBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PerfumeBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PerfumeBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PerfumeBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PoisonBottle,PC2,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
PoisonBottle,PC4,one full opaque closed cylindrical glass bottle with a twist finish and screw closure
PoisonBottle,PC5,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
PoisonBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
PoisonBottle,PC8,one full opaque open cylindrical plastic bottle with a snap finish and no closure
PotionBottle,PC2,one full opaque closed cylindrical glass bottle with a snap finish and snap closure
PotionBottle,PC4,one full opaque closed cylindrical plastic bottle with a snap finish and swing - top closure
PotionBottle,PC5,one full opaque closed cylindrical plastic bottle with a snap finish and swing - top closure
PotionBottle,PC6,one full opaque closed cylindrical plastic bottle with a snap finish and swing - top closure
PotionBottle,PC8,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure
SmallBottle,PC2,one empty opaque open oval plastic container with a snap finish and no closure
SmallBottle,PC4,one empty translucent open oval plastic bottle with a twist finish and no closure
SmallBottle,PC5,one empty opaque open oval plastic container with a snap finish and no closure
SmallBottle,PC6,one empty translucent open oval plastic container with a snap finish and no closure
SmallBottle,PC8,one empty translucent open oval plastic container with a snap finish and no closure
SnakeOilBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SnakeOilBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SnakeOilBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SnakeOilBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
SnakeOilBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
VintageGlassBottle,PC2,one full opaque closed cylindrical glass bottle with a snap finish and snap closure
VintageGlassBottle,PC4,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
VintageGlassBottle,PC5,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
VintageGlassBottle,PC6,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
VintageGlassBottle,PC8,one full transparent open cylindrical glass bottle with a snap finish and no closure
WhiskeyBottle,PC2,one full opaque closed cylindrical glass bottle with a twist finish and screw closure
WhiskeyBottle,PC4,one full opaque open cylindrical glass bottle with a snap finish and no closure
